    contributors  coordinates                      created_at                                           entities                                  extended_entities  ...  \
"8   <a href=""http://twitter.com/download/iphone"" r...  RT @urfavandtrump: RT for Brendon Urie\nFav fo...  1459294818018      False  {'utc_offset': None, 'profile_image_url_https'...  "
"9   <a href=""http://twitter.com/download/iphone"" r...  RT @trapgrampa: This is how I see #Trump every...  1459294818019      False  {'utc_offset': None, 'profile_image_url_https'...  "
"10  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @trumpresearch: @WaitingInBagdad @thehill T...  1459294818004      False  {'utc_offset': 10800, 'profile_image_url_https...  "
"11  <a href=""http://twitter.com/download/android"" ...  RT @Pjw20161951: NO KIDDING: #SleazyDonald jus...  1459294817882      False  {'utc_offset': None, 'profile_image_url_https'...  "
"12  <a href=""http://twitter.com/download/iphone"" r...  RT @urfavandtrump: RT for Brendon Urie\nFav fo...  1459294818018      False  {'utc_offset': None, 'profile_image_url_https'...  "
"13  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @ggreenwald: The media spent all day claimi...  1459294818024      False  {'utc_offset': None, 'profile_image_url_https'...  "
"14  <a href=""http://twitter.com/download/android"" ...  RT @Pjw20161951: NO KIDDING: #SleazyDonald jus...  1459294817882      False  {'utc_offset': None, 'profile_image_url_https'...  "
"15  <a href=""http://twitter.com/download/iphone"" r...  RT @trapgrampa: This is how I see #Trump every...  1459294818019      False  {'utc_offset': None, 'profile_image_url_https'...  "
"16  <a href=""http://twitter.com/download/android"" ...  RT @mitchellvii: So let me get this straight. ...  1459294818081      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"17  <a href=""http://twitter.com/download/android"" ...  Your an idiot she shouldn't have tried to grab...  1459294817903      False  {'utc_offset': None, 'profile_image_url_https'...  "
"18  <a href=""http://twitter.com/download/iphone"" r...  RT @paulbenedict7: How #Trump Sacks RINO Stron...  1459294818133      False  {'utc_offset': None, 'profile_image_url_https'...  "
"19  <a href=""http://twitter.com/download/android"" ...  RT @DRUDGE_REPORT: VIDEO:  Trump emotional mom...  1459294817870      False  {'utc_offset': None, 'profile_image_url_https'...  "
"20  <a href=""http://twitter.com/download/android"" ...  #HillYes #ImWithHer #RollHillary @HillaryClint...  1459294818080      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"21  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  RT @ggreenwald: The media spent all day claimi...  1459294818024      False  {'utc_offset': None, 'profile_image_url_https'...  "
"22  <a href=""http://twitter.com/download/iphone"" r...  RT @DennisApgar: Thank God I seen Trump at fir...  1459294818123      False  {'utc_offset': None, 'profile_image_url_https'...  "
"23  <a href=""http://twitter.com/download/iphone"" r...  RT @paulbenedict7: How #Trump Sacks RINO Stron...  1459294818133      False  {'utc_offset': None, 'profile_image_url_https'...  "
"24  <a href=""http://twitter.com/download/android"" ...  RT @DRUDGE_REPORT: VIDEO:  Trump emotional mom...  1459294817870      False  {'utc_offset': None, 'profile_image_url_https'...  "
"25  <a href=""http://twitter.com/download/iphone"" r...  RT @DennisApgar: Thank God I seen Trump at fir...  1459294818123      False  {'utc_offset': None, 'profile_image_url_https'...  "
"26  <a href=""http://twitter.com/download/android"" ...  RT @mitchellvii: So let me get this straight. ...  1459294818081      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"27  <a href=""http://twitter.com"" rel=""nofollow"">Tw...  Trump won't do a yes ma'am for this.  https://...  1459294817935      False  {'utc_offset': None, 'profile_image_url_https'...  "
"28  <a href=""http://www.twitter.com"" rel=""nofollow...  RT @sciam: Trump's idiosyncratic patterns of s...  1459294818231      False  {'utc_offset': -25200, 'profile_image_url_http...  "
"29  <a href=""http://twitter.com/download/android"" ...  #HillYes #ImWithHer #RollHillary @HillaryClint...  1459294818080      False  {'utc_offset': -25200, 'profile_image_url_http...  "
